id_level1;inform_level1;weight1;id_level2;inform_level2;weight2;id_level3;inform_level3;weight3;id_overall;weight_overall;admin_level;year;retention_period;source_quality;variable;source_link;country_code;country_name
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;3;2012;5;4;Poverty incidence;https://psa.gov.ph/content/psa-releases-2012-municipal-and-city-level-poverty-estimates;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;3;2016;2;3;Recent shocks;https://profiles.510.global/#!/dashboards/5906f54b66307627d5d7f884/priority_index_profile;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;3;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;3;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;3;2008;2;4;Good governance index;http://nap.psa.gov.ph/ggi/default.asp;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;3;;;;;;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;3;2000;20;3;Travel time to nearest city;http://forobs.jrc.ec.europa.eu/products/gam/download.php;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;3;2013;3;2;Nr. of facilities per 10,000 people;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;3;2016;;;Administrative areas - level 3;https://data.humdata.org/dataset/regional-admin1-boundaries-of-the-philippines-june2016;PH;The Philippines
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;3;2015;;;Population;http://psa.gov.ph/content/highlights-philippine-population-2015-census-population;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;4;;;;;;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;4;;;;;;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;4;;;;;;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;4;;;;;;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;4;;;;;;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;4;;;;;;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;4;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;4;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;4;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;4;;;;;;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;4;;;;;;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;4;2000;20;3;Travel time to nearest city;http://forobs.jrc.ec.europa.eu/products/gam/download.php;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;4;;;;;;PH;The Philippines
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;4;2016;;;Administrative areas - level 4;https://data.humdata.org/dataset/philippines-admin4-boundaries-barangay;PH;The Philippines
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;4;2015;;;Population;http://psa.gov.ph/content/highlights-philippine-population-2015-census-population;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;2;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;2;2017;;;Flood risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;2;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;2;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;2;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;2;2017;;;Drought risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;2;;;;;;MW;Malawi
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;2;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2011;5;3;% with (semi)permanent house materials;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2011;5;4;Poverty incidence;http://www.worldpop.org.uk/data/summary/?doi=10.5258/SOTON/WP00157;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2012;5;3;Life expectancy;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;2;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;2;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;2;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;2;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;2;2012;5;4;Infant mortality rate;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;2;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;2;2011;1;3;Food Consumption Score;https://data.hdx.rwlabs.org/dataset/food-consumption-score-fcs;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;2;;;;;;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;2;2016;2;3;Active NGOs per 100,000 people;;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;2;2011;3;3;% with mobile access;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;2;2017;;;Traveltime to nearest trading centre;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;2;2017;;;Traveltime to nearest secondary school;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;2;2017;;;Traveltime to nearest hospital;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;2;2011;3;3;% with piped water;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;2;2011;3;3;% with improved  sanitation;http://malawi.opendataforafrica.org/MLRS2016/regional-statistics-of-malawi-2014;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;2;2013;3;2;Nr. of facilities per 10,000 people;http://www.masdap.mw/layers/geonode:mw_health_wgs84;MW;Malawi
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;2;2015;;;Administrative areas - level 2;https://data.humdata.org/dataset/malawi-admin-level-2-boundaries;MW;Malawi
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;2;2014;;;Population;https://data.humdata.org/dataset/malawi-admin-level-3-boundaries;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;3;2017;;;Flood risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;3;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;3;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;3;2017;;;Drought risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;3;;;;;;MW;Malawi
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;3;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;3;2011;5;4;Poverty incidence;http://www.worldpop.org.uk/data/summary/?doi=10.5258/SOTON/WP00157;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;3;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;3;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;3;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;3;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;3;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;3;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;3;;;;;;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;3;;;;;;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;3;2016;2;3;Active NGOs per 100,000 people;;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;3;;;;;;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;3;2017;;;Traveltime to nearest trading centre;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;3;2017;;;Traveltime to nearest secondary school;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;3;2017;;;Traveltime to nearest hospital;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;3;2013;3;2;Nr. of facilities per 10,000 people;http://www.masdap.mw/layers/geonode:mw_health_wgs84;MW;Malawi
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;3;2015;;;Administrative areas - level 3;https://data.humdata.org/dataset/malawi-admin-level-3-boundaries;MW;Malawi
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;3;2014;;;Population;https://data.humdata.org/dataset/malawi-admin-level-3-boundaries;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;4;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;4;2017;;;Flood risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;4;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;4;;;;;;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;4;2017;;;Drought risk (0-10);https://data.humdata.org/dataset/inform-based-prioritization-of-enumeration-areas-in-malawi;MW;Malawi
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;4;;;;;;MW;Malawi
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;4;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;4;2011;5;4;Poverty incidence;http://www.worldpop.org.uk/data/summary/?doi=10.5258/SOTON/WP00157;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;4;;;;;;MW;Malawi
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;4;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;4;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;4;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;4;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;4;;;;;;MW;Malawi
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;4;;;;;;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;4;;;;;;MW;Malawi
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;4;2016;2;3;Active NGOs per 100,000 people;;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;4;;;;;;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;4;2017;;;Traveltime to nearest trading centre;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;4;2017;;;Traveltime to nearest secondary school;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;4;2017;;;Traveltime to nearest hospital;https://510.global/developing-and-field-testing-a-remoteness-indicator-in-malawi/;MW;Malawi
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;4;;;;;;MW;Malawi
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;4;2012;;;Administrative areas - level 4;http://www.masdap.mw/layers/geonode%3Aeas_bnd;MW;Malawi
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;4;2014;;;Population;https://data.humdata.org/dataset/malawi-admin-level-3-boundaries;MW;Malawi
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;2;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;NP;Nepal
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;2;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;NP;Nepal
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;2;;;;;;NP;Nepal
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;2;;;;;;NP;Nepal
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;2;2010;10;3;Drought exposure;http://preview.grid.unep.ch/index.php?preview=data&events=droughts&evcat=4&lang=eng;NP;Nepal
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;2;;;;;;NP;Nepal
